"","Date","hour","MeterID","MonthRead","count","fd"
"1","2017-10-27",1,1030664,44,720,"4"
"2","2017-10-27",2,1030664,49,720,"4"
"3","2017-10-27",3,1030664,27,720,"2"
"4","2017-10-27",4,1030664,13,720,"1"
"5","2017-10-27",5,1030664,7,720,"7"
"6","2017-10-27",6,1030664,33,720,"3"
"7","2017-10-27",7,1030664,1,720,"1"
"8","2017-10-27",8,1030664,19,1275,"1"
"9","2017-10-27",9,1030664,36,1440,"3"
"10","2017-10-27",10,1030664,50,1440,"5"
"11","2017-10-27",11,1030664,51,1440,"5"
"12","2017-10-27",12,1030664,53,720,"5"
"13","2017-10-28",1,1030664,7,1440,"7"
"14","2017-10-28",2,1030664,10,1440,"1"
"15","2017-10-28",6,1030664,27,1440,"2"
"16","2017-10-28",7,1030664,4,1440,"4"
"17","2017-10-28",8,1030664,7,1440,"7"
"18","2017-10-28",9,1030664,3,1440,"3"
"19","2017-10-28",10,1030664,3,1440,"3"
"20","2017-10-28",11,1030664,7,1440,"7"
"21","2017-10-29",1,1030664,5,1440,"5"
"22","2017-10-29",2,1030664,1,1440,"1"
"23","2017-10-29",3,1030664,3,1440,"3"
"24","2017-10-29",4,1030664,1,1440,"1"
"25","2017-10-29",6,1030664,14,1440,"1"
"26","2017-10-29",8,1030664,3,1440,"3"
"27","2017-10-29",11,1030664,2,1440,"2"
"28","2017-10-29",12,1030664,2,1440,"2"
"29","2017-10-30",1,1030664,50,1440,"5"
"30","2017-10-30",2,1030664,41,1440,"4"
"31","2017-10-30",3,1030664,45,1440,"4"
"32","2017-10-30",4,1030664,16,1440,"1"
"33","2017-10-30",5,1030664,5,1440,"5"
"34","2017-10-30",6,1030664,13,1440,"1"
"35","2017-10-30",7,1030664,47,1440,"4"
"36","2017-10-30",8,1030664,27,1440,"2"
"37","2017-10-30",9,1030664,50,1440,"5"
"38","2017-10-30",10,1030664,47,1440,"4"
"39","2017-10-30",11,1030664,27,1440,"2"
"40","2017-10-30",12,1030664,40,1440,"4"
"41","2017-10-31",1,1030664,82,1440,"8"
"42","2017-10-31",2,1030664,78,1440,"7"
"43","2017-10-31",3,1030664,36,1440,"3"
"44","2017-10-31",4,1030664,29,1440,"2"
"45","2017-10-31",5,1030664,6,1440,"6"
"46","2017-10-31",6,1030664,21,1440,"2"
"47","2017-10-31",7,1030664,70,1440,"7"
"48","2017-10-31",8,1030664,44,1440,"4"
"49","2017-10-31",9,1030664,62,1440,"6"
"50","2017-10-31",10,1030664,54,1440,"5"
"51","2017-10-31",11,1030664,48,1440,"4"
"52","2017-10-31",12,1030664,21,1440,"2"
"53","2017-11-01",1,1030664,32,1440,"3"
"54","2017-11-01",2,1030664,43,1440,"4"
"55","2017-11-01",3,1030664,26,1440,"2"
"56","2017-11-01",4,1030664,37,1440,"3"
"57","2017-11-01",5,1030664,15,1440,"1"
"58","2017-11-01",6,1030664,59,1440,"5"
"59","2017-11-01",7,1030664,67,1440,"6"
"60","2017-11-01",8,1030664,39,1440,"3"
"61","2017-11-01",9,1030664,32,1440,"3"
"62","2017-11-01",10,1030664,77,1440,"7"
"63","2017-11-01",11,1030664,88,1440,"8"
"64","2017-11-01",12,1030664,55,1440,"5"
"65","2017-11-02",1,1030664,28,1440,"2"
"66","2017-11-02",2,1030664,44,1440,"4"
"67","2017-11-02",3,1030664,51,1440,"5"
"68","2017-11-02",4,1030664,15,1440,"1"
"69","2017-11-02",5,1030664,7,1440,"7"
"70","2017-11-02",6,1030664,87,1440,"8"
"71","2017-11-02",7,1030664,20,1440,"2"
"72","2017-11-02",8,1030664,22,1440,"2"
"73","2017-11-02",9,1030664,37,1440,"3"
"74","2017-11-02",10,1030664,64,1440,"6"
"75","2017-11-02",11,1030664,54,1440,"5"
"76","2017-11-02",12,1030664,59,1440,"5"
"77","2017-11-03",1,1030664,38,1440,"3"
"78","2017-11-03",2,1030664,50,1440,"5"
"79","2017-11-03",3,1030664,25,1440,"2"
